Point ID,vel_0,vel_1
9384,0.00771324,0.00771324
9385,0.00430357,0.00430357
9386,0.00678049,0.00678049
9387,0.00633276,0.00633276
9388,0.0100061,0.0100061
9389,0.00556127,0.00556127
9390,0.00878196,0.00878196
9391,0.00823432,0.00823432
9392,0.0130089,0.0130089
9393,0.00721824,0.00721824
9394,0.0114071,0.0114071
9395,0.010734,0.010734
9396,0.0169205,0.0169205
9397,0.00939934,0.00939934
9398,0.0148373,0.0148373
9399,0.014004,0.014004
9400,0.0219708,0.0219708
9401,0.0122606,0.0122606
9402,0.019288,0.019288
9403,0.0182475,0.0182475
9404,0.0284068,0.0284068
9405,0.0159903,0.0159903
9406,0.0250002,0.0250002
9407,0.0236893,0.0236893
9408,0.0364634,0.0364634
9409,0.0208042,0.0208042
9410,0.0322195,0.0322195
9411,0.0305543,0.0305543
9412,0.0463161,0.0463161
9413,0.0269308,0.0269308
9414,0.0411583,0.0411583
9415,0.0390298,0.0390298
9416,0.0580193,0.0580193
9417,0.034582,0.034582
9418,0.0519397,0.0519397
9419,0.0492104,0.0492104
9420,0.0714443,0.0714443
9421,0.0439066,0.0439066
9422,0.0645336,0.0645336
9423,0.0610328,0.0610328
9424,0.0862398,0.0862398
9425,0.0549285,0.0549285
9426,0.0787019,0.0787019
9427,0.074219,0.074219
9428,0.101843,0.101843
9429,0.0674827,0.0674827
9430,0.0939827,0.0939827
9431,0.0882481,0.0882481
9432,0.117548,0.117548
9433,0.0811706,0.0811706
9434,0.10973,0.10973
9435,0.102372,0.102372
9436,0.13261,0.13261
9437,0.0953533,0.0953533
9438,0.125204,0.125204
9439,0.115655,0.115655
9440,0.146337,0.146337
9441,0.109184,0.109184
9442,0.13968,0.13968
9443,0.126967,0.126967
9444,0.158106,0.158106
9445,0.121639,0.121639
9446,0.152505,0.152505
9447,0.134803,0.134803
9448,0.167221,0.167221
9449,0.131444,0.131444
9450,0.163052,0.163052
9451,0.136636,0.136636
9452,0.172421,0.172421
9453,0.136711,0.136711
9454,0.170442,0.170442
9455,0.127428,0.127428
9456,0.170393,0.170393
9457,0.133905,0.133905
9458,0.172701,0.172701
9459,0.0986314,0.0986314
9460,0.151871,0.151871
9461,0.11599,0.11599
9462,0.164205,0.164205
9463,0.0510905,0.0510905
9464,0.100992,0.100992
9465,0.0757228,0.0757228
9466,0.130968,0.130968
9467,0.0156672,0.0156672
9468,0.0362341,0.0362341
9469,0.0301276,0.0301276
9470,0.0662058,0.0662058
9471,0.00320833,0.00320833
9472,0.0073622,0.0073622
9473,0.0073622,0.0073622
9474,0.0171917,0.0171917
9475,0.000527692,0.000527692
9476,0.00115216,0.00115216
9477,0.00131811,0.00131811
9478,0.00294889,0.00294889
9479,7.76916e-05,7.76916e-05
9480,0.000162191,0.000162191
9481,0.000202373,0.000202373
9482,0.000430556,0.000430556
9483,1.0685e-05,1.0685e-05
9484,2.15532e-05,2.15532e-05
9485,2.85851e-05,2.85851e-05
9486,5.84702e-05,5.84702e-05
9487,1.40142e-06,1.40142e-06
9488,2.75157e-06,2.75157e-06
9489,3.81865e-06,3.81865e-06
9490,7.58066e-06,7.58066e-06
9491,1.78364e-07,1.78364e-07
9492,3.42006e-07,3.42006e-07
9493,4.90908e-07,4.90908e-07
9494,9.50896e-07,9.50896e-07
9495,2.25801e-08,2.25801e-08
9496,4.22053e-08,4.22053e-08
9497,6.19498e-08,6.19498e-08
9498,1.17184e-07,1.17184e-07
9499,2.96882e-09,2.96882e-09
9500,5.36123e-09,5.36123e-09
9501,7.93334e-09,7.93334e-09
9502,1.45757e-08,1.45757e-08
9503,4.32412e-10,4.32412e-10
9504,7.43665e-10,7.43665e-10
9505,1.09035e-09,1.09035e-09
9506,1.92132e-09,1.92132e-09
9507,7.36578e-11,7.36578e-11
9508,1.19678e-10,1.19678e-10
9509,1.71867e-10,1.71867e-10
9510,2.86679e-10,2.86679e-10
9511,1.45532e-11,1.45532e-11
9512,2.25437e-11,2.25437e-11
9513,3.18787e-11,3.18787e-11
9514,5.03791e-11,5.03791e-11
9515,3.12988e-12,3.12988e-12
9516,4.7054e-12,4.7054e-12
9517,6.65769e-12,6.65769e-12
9518,1.01263e-11,1.01263e-11
9519,6.87355e-13,6.87355e-13
9520,1.01705e-12,1.01705e-12
9521,1.45928e-12,1.45928e-12
9522,2.1722e-12,2.1722e-12
9523,1.4828e-13,1.4828e-13
9524,2.17628e-13,2.17628e-13
9525,3.18903e-13,3.18903e-13
9526,4.6949e-13,4.6949e-13
9527,3.08457e-14,3.08457e-14
9528,4.5074e-14,4.5074e-14
9529,6.76491e-14,6.76491e-14
9530,9.90229e-14,9.90229e-14
9531,6.1399e-15,6.1399e-15
9532,8.94849e-15,8.94849e-15
9533,1.37664e-14,1.37664e-14
9534,2.00852e-14,2.00852e-14
9535,1.16632e-15,1.16632e-15
9536,1.69675e-15,1.69675e-15
9537,2.67522e-15,2.67522e-15
9538,3.89491e-15,3.89491e-15
9539,2.11336e-16,2.11336e-16
9540,3.07014e-16,3.07014e-16
9541,4.95832e-16,4.95832e-16
9542,7.20762e-16,7.20762e-16
9543,3.65508e-17,3.65508e-17
9544,5.30342e-17,5.30342e-17
9545,8.76676e-17,8.76676e-17
9546,1.27273e-16,1.27273e-16
9547,6.04305e-18,6.04305e-18
9548,8.75869e-18,8.75869e-18
9549,1.48011e-17,1.48011e-17
9550,2.14632e-17,2.14632e-17
9551,9.76051e-19,9.76051e-19
9552,1.41317e-18,1.41317e-18
9553,2.39641e-18,2.39641e-18
9554,3.47136e-18,3.47136e-18
9555,2.89369e-19,2.89369e-19
9556,4.18572e-19,4.18572e-19
9557,4.23743e-19,4.23743e-19
9558,6.1314e-19,6.1314e-19
9559,6.16347e-05,6.16347e-05
